I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.04400,0.01000,0.05400,0.01700,-0.04900,0.03200,-0.04400,0.00500,-0.04700,-0.09400,-0.03600,-0.06500
-0.04900,0.01700,0.06700,0.01600,-0.05800,0.04200,-0.04600,0.00400,-0.05300,-0.10400,-0.02100,-0.03900
-0.06000,-0.00300,0.05800,0.03100,-0.05900,0.02700,-0.04500,0.00600,-0.07200,-0.12700,-0.02900,-0.03200
-0.05400,-0.00100,0.05300,0.02800,-0.05400,0.02600,-0.04400,0.00300,-0.06600,-0.12100,-0.05100,-0.03800
-0.05200,-0.00500,0.04700,0.02800,-0.05000,0.02100,-0.04800,-0.01100,-0.06300,-0.11800,-0.05000,-0.02200
-0.07100,-0.02700,0.04400,0.04800,-0.05700,0.00800,-0.04300,-0.00600,-0.06000,-0.11500,-0.04900,-0.01800
-0.06200,-0.01600,0.04600,0.03900,-0.05400,0.01500,-0.03500,0.01400,-0.05500,-0.10900,-0.04500,-0.01200
-0.05500,-0.00900,0.04600,0.03200,-0.05000,0.01800,-0.03400,0.02500,-0.05300,-0.11300,-0.04500,-0.00900
-0.07600,-0.01900,0.05700,0.04700,-0.06600,0.01900,-0.03000,0.02500,-0.04600,-0.10900,-0.04300,-0.00400
-0.07000,-0.00700,0.06200,0.03800,-0.06600,0.02700,-0.02700,0.02900,-0.04100,-0.10300,-0.03700,0.00000
-0.05000,0.00700,0.05600,0.02100,-0.05300,0.03200,-0.02500,0.02700,-0.03500,-0.09700,-0.03300,-0.00300
-0.05500,-0.00600,0.04800,0.03000,-0.05100,0.02100,-0.02500,0.03300,-0.03000,-0.08800,-0.02900,0.00900
-0.05400,-0.00700,0.04700,0.03000,-0.05100,0.02000,-0.02500,0.04200,-0.02600,-0.08000,-0.02400,0.01500
-0.07100,0.00100,0.07300,0.03500,-0.07200,0.03700,-0.02500,0.03600,-0.02300,-0.07100,-0.02000,0.02500
-0.07400,0.00600,0.08000,0.03300,-0.07700,0.04300,-0.02500,0.03500,-0.02100,-0.06500,-0.02500,0.03600
-0.05500,0.01600,0.07100,0.01900,-0.06300,0.04300,-0.02500,0.03100,-0.01700,-0.06500,-0.02500,0.03500
-0.05400,0.01500,0.06900,0.01900,-0.06100,0.04200,-0.02400,0.02900,-0.01600,-0.06600,-0.02800,0.03500
-0.04200,0.02200,0.06400,0.01000,-0.05400,0.04300,-0.02100,0.03400,-0.01200,-0.07100,-0.03500,0.03500
-0.04900,0.00800,0.05700,0.02000,-0.05300,0.03200,-0.01800,0.03200,-0.01000,-0.06900,-0.03500,0.03500
-0.04400,0.01500,0.06000,0.01400,-0.05200,0.03800,-0.02800,0.02700,-0.00900,-0.06400,-0.03400,0.03500
-0.04100,0.03000,0.07100,0.00500,-0.05700,0.05100,-0.03600,0.02400,-0.01100,-0.07000,-0.03600,0.03600
-0.05600,0.01400,0.07000,0.02100,-0.06300,0.04200,-0.03400,0.02100,-0.02300,-0.08000,-0.03300,0.03700
-0.06200,0.00800,0.07000,0.02700,-0.06600,0.03900,-0.03500,0.01600,-0.02700,-0.09300,-0.03900,0.03400
-0.05900,0.01200,0.07100,0.02400,-0.06500,0.04100,-0.03500,0.01500,-0.03400,-0.09500,-0.03600,0.03100
-0.03700,0.02800,0.06500,0.00400,-0.05200,0.04600,-0.03500,0.01400,-0.03500,-0.08900,-0.02400,0.02900
-0.03500,0.02200,0.05700,0.00600,-0.04600,0.03900,-0.03400,0.01800,-0.03000,-0.08700,-0.03000,0.02500
-0.03200,0.01900,0.05100,0.00600,-0.04200,0.03500,-0.03800,0.01900,-0.03000,-0.08200,-0.03100,0.02600
-0.02800,0.01600,0.04400,0.00500,-0.03600,0.03000,-0.04500,0.01200,-0.02400,-0.08100,-0.02900,0.02900
-0.02900,0.01100,0.04000,0.00900,-0.03400,0.02500,-0.04500,0.00700,-0.02800,-0.09400,-0.03100,0.02400
-0.03100,0.00900,0.04000,0.01100,-0.03600,0.02500,-0.04500,0.00100,-0.04000,-0.10800,-0.02900,0.02500
-0.04400,-0.00400,0.04000,0.02400,-0.04200,0.01700,-0.04500,-0.00400,-0.03900,-0.11100,-0.03200,0.02500
-0.04300,-0.00300,0.04000,0.02300,-0.04100,0.01800,-0.04500,-0.00200,-0.03600,-0.11000,-0.04000,0.02500
-0.03800,0.00200,0.04000,0.01800,-0.03900,0.02100,-0.04300,0.00000,-0.03300,-0.11000,-0.03700,0.02600
-0.03100,0.00600,0.03700,0.01200,-0.03400,0.02100,-0.03800,0.00000,-0.03000,-0.11000,-0.03100,0.01900
-0.01800,0.01100,0.02800,0.00300,-0.02300,0.02000,-0.03200,0.00500,-0.02800,-0.10900,-0.02800,0.03000
-0.02700,0.00000,0.02700,0.01300,-0.02700,0.01300,-0.02900,0.00500,-0.02500,-0.10400,-0.02200,0.03700
-0.02500,-0.01100,0.01400,0.01800,-0.02000,0.00200,-0.02300,0.00600,-0.02200,-0.09900,-0.01800,0.03400
-0.02200,-0.01500,0.00700,0.01900,-0.01400,-0.00400,-0.02100,0.01400,-0.02000,-0.09500,-0.03000,0.03600
-0.04400,-0.01500,0.02900,0.02900,-0.03600,0.00700,-0.03600,0.01500,-0.01600,-0.09000,-0.04500,0.03400
-0.04100,-0.01000,0.03100,0.02600,-0.03600,0.01000,-0.03400,0.02200,-0.01500,-0.08600,-0.03900,0.03600
-0.03400,-0.00900,0.02400,0.02100,-0.02900,0.00700,-0.02500,0.02600,-0.01900,-0.08100,-0.03200,0.02800
-0.02900,-0.00400,0.02500,0.01600,-0.02600,0.01000,-0.02000,0.02400,-0.01600,-0.07500,-0.02700,0.02500
-0.02300,-0.00400,0.01900,0.01400,-0.02100,0.00700,-0.01100,0.02600,-0.00400,-0.06900,-0.01800,0.01600
-0.01200,0.00900,0.02200,0.00100,-0.01700,0.01500,-0.00800,0.02400,0.00500,-0.06400,-0.01800,0.02200
-0.01500,0.03300,0.04800,-0.00900,-0.03200,0.04100,0.00300,0.03500,0.01300,-0.05900,-0.02100,0.04900
-0.00400,0.04900,0.05300,-0.02300,-0.02800,0.05100,0.01200,0.05000,0.02900,-0.05500,-0.01900,0.04900
0.04400,0.07400,0.03100,-0.05900,0.00600,0.05200,0.00800,0.04700,0.03500,-0.05900,-0.01200,0.05100
0.04100,0.07500,0.03400,-0.05800,0.00300,0.05400,-0.01500,0.04100,0.02500,-0.06100,-0.01400,0.04800
0.03300,0.06900,0.03600,-0.05200,-0.00100,0.05200,-0.04200,0.03500,0.02000,-0.05900,0.00300,0.05600
0.03700,0.06800,0.03100,-0.05300,0.00300,0.04900,-0.06100,0.02900,0.01300,-0.05800,0.02900,0.07600
0.03500,0.06400,0.03000,-0.05000,0.00200,0.04700,-0.07100,0.02300,0.00500,-0.05500,0.02500,0.06900
0.03700,0.06200,0.02500,-0.05000,0.00600,0.04400,-0.06500,0.01900,0.01300,-0.05300,0.01600,0.06300
0.02400,0.04900,0.02500,-0.03700,-0.00100,0.03600,-0.06000,0.01200,0.01500,-0.06600,0.00700,0.05500
0.01900,0.03800,0.02000,-0.02900,-0.00100,0.02900,-0.05800,0.00800,0.00800,-0.06600,0.00300,0.05100
0.01100,0.02300,0.01200,-0.01700,-0.00100,0.01700,-0.05000,0.00100,-0.00300,-0.07900,-0.01300,0.03800
-0.01000,-0.00300,0.00700,0.00600,-0.00800,0.00200,-0.05100,-0.00200,-0.00600,-0.08200,-0.01600,0.03300
-0.01900,-0.02200,-0.00200,0.02100,-0.00800,-0.01200,-0.04900,0.00200,-0.01800,-0.08900,-0.03800,0.02600
-0.01600,-0.02100,-0.00500,0.01900,-0.00500,-0.01300,-0.05500,-0.01800,-0.02800,-0.09500,-0.03100,0.02600
-0.01600,-0.03200,-0.01700,0.02400,0.00100,-0.02400,-0.05200,-0.01400,-0.03000,-0.10300,-0.03400,0.02100
0.00500,-0.01900,-0.02400,0.00700,0.01500,-0.02100,-0.04100,-0.01100,-0.03100,-0.10000,-0.05900,0.01400
-0.00500,-0.02600,-0.02100,0.01600,0.00800,-0.02300,-0.04300,-0.00600,-0.01900,-0.09500,-0.05200,0.01800
-0.03400,-0.04400,-0.01000,0.03900,-0.01200,-0.02700,-0.02200,0.00200,-0.03500,-0.11200,-0.07000,-0.01900
0.00300,0.01600,0.01300,-0.00900,-0.00500,0.01400,-0.01600,0.04500,0.05300,-0.01300,-0.01900,0.00700
0.06000,0.04900,-0.01000,-0.05400,0.03500,0.01900,0.07200,0.30900,0.35500,0.25100,0.14200,0.11200
0.47900,0.28900,-0.19100,-0.38400,0.33500,0.04900,-0.08100,0.57300,0.99600,1.01100,0.92700,0.63300
0.91700,0.46700,-0.45000,-0.69200,0.68300,0.00900,-0.64000,0.03800,0.66700,0.83900,1.28400,1.03400
0.58800,0.15500,-0.43300,-0.37200,0.51000,-0.13900,-1.03800,-1.11000,-0.89700,-0.68700,0.39300,0.63100
0.15400,-0.06600,-0.22000,-0.04400,0.18700,-0.14300,-0.94400,-1.26600,-1.24200,-1.09900,-0.10700,0.29300
0.04600,-0.02900,-0.07600,-0.00800,0.06100,-0.05200,-0.51000,-0.61000,-0.61800,-0.62000,-0.11800,0.17600
-0.01900,-0.01300,0.00700,0.01600,-0.01300,-0.00300,-0.19900,-0.26100,-0.28900,-0.33500,-0.12400,0.05100
-0.03200,-0.00400,0.02800,0.01800,-0.03000,0.01100,-0.06800,-0.07400,-0.09100,-0.16400,-0.07300,0.01200
-0.03800,-0.00800,0.03000,0.02300,-0.03400,0.01100,-0.01100,-0.00300,-0.05100,-0.13500,-0.09000,-0.01400
-0.05500,-0.02900,0.02600,0.04100,-0.04000,-0.00100,-0.00600,0.01900,-0.01200,-0.09400,-0.08000,-0.00900
-0.05900,-0.03700,0.02200,0.04800,-0.04000,-0.00700,0.00900,0.04500,0.01300,-0.09000,-0.08800,-0.02800
-0.04900,-0.02900,0.01900,0.03900,-0.03400,-0.00500,0.00800,0.04600,0.01800,-0.08700,-0.08300,-0.03200
-0.04300,-0.02800,0.01400,0.03500,-0.02800,-0.00700,0.01700,0.05400,0.02400,-0.08100,-0.07900,-0.02500
-0.03500,-0.02300,0.01200,0.02900,-0.02300,-0.00500,0.02200,0.04700,0.02000,-0.08100,-0.08200,-0.02600
-0.03400,-0.02000,0.01400,0.02700,-0.02400,-0.00300,0.02400,0.05400,0.03000,-0.07200,-0.07600,-0.01900
-0.04300,-0.01600,0.02700,0.02900,-0.03400,0.00500,0.02600,0.05900,0.03400,-0.08100,-0.07600,-0.02100
-0.04700,-0.01500,0.03200,0.03100,-0.03900,0.00800,0.02300,0.06200,0.03600,-0.07900,-0.07400,-0.02400
-0.05200,-0.02500,0.02700,0.03800,-0.03900,0.00100,0.02900,0.06000,0.03300,-0.08000,-0.07600,-0.02500
-0.05200,-0.02400,0.02700,0.03700,-0.03900,0.00200,0.04000,0.06800,0.04600,-0.08000,-0.07400,-0.02500
-0.04200,-0.02200,0.02000,0.03100,-0.03100,-0.00100,0.03900,0.07000,0.05100,-0.08000,-0.07600,-0.02500
-0.03400,-0.01600,0.01800,0.02500,-0.02600,0.00100,0.04800,0.07800,0.04900,-0.08100,-0.07900,-0.02400
-0.05300,-0.01700,0.03700,0.03400,-0.04500,0.01000,0.06200,0.09200,0.05000,-0.07600,-0.07600,-0.02900
-0.05500,-0.02000,0.03500,0.03700,-0.04500,0.00700,0.05900,0.08800,0.04900,-0.07100,-0.07300,-0.03100
-0.04900,-0.01400,0.03500,0.03100,-0.04100,0.01000,0.06100,0.09900,0.06300,-0.06400,-0.07100,-0.02900
-0.05100,-0.01000,0.04100,0.03000,-0.04600,0.01500,0.06000,0.11800,0.07000,-0.05800,-0.06700,-0.02600
-0.04900,-0.00600,0.04300,0.02700,-0.04500,0.01800,0.06200,0.13200,0.08300,-0.05300,-0.06500,-0.02500
-0.03100,0.00200,0.03400,0.01400,-0.03200,0.01800,0.07300,0.15600,0.10900,-0.03200,-0.06200,-0.02400
0.00300,0.03000,0.02600,-0.01700,-0.01200,0.02800,0.09200,0.18900,0.13200,-0.01300,-0.05400,-0.01700
-0.00500,0.03600,0.04200,-0.01600,-0.02400,0.03900,0.10900,0.22300,0.16800,0.00700,-0.04700,-0.01200
-0.01600,0.04000,0.05500,-0.01200,-0.03600,0.04700,0.12300,0.26100,0.20100,0.03400,-0.04300,-0.00700
-0.01400,0.07900,0.09300,-0.03300,-0.05400,0.08600,0.15400,0.31100,0.24200,0.06300,-0.03700,0.00600
-0.00400,0.10200,0.10600,-0.05000,-0.05500,0.10400,0.17100,0.34600,0.28200,0.09900,-0.00800,0.03300
0.02300,0.13300,0.10900,-0.07800,-0.04300,0.12100,0.16200,0.37000,0.31400,0.12800,0.03100,0.06600
0.04700,0.16800,0.12100,-0.10700,-0.03800,0.14400,0.15600,0.38300,0.32900,0.14200,0.04600,0.08800
0.07500,0.17700,0.10200,-0.12600,-0.01400,0.13900,0.14300,0.36200,0.31800,0.14600,0.06200,0.11400
0.08600,0.17700,0.09100,-0.13200,-0.00300,0.13400,0.12300,0.32700,0.30300,0.13600,0.08000,0.13300
0.07800,0.15800,0.08000,-0.11800,-0.00200,0.11900,0.08400,0.28400,0.27200,0.10900,0.07300,0.12200
0.06900,0.13700,0.06800,-0.10300,0.00000,0.10200,0.04300,0.21500,0.21500,0.08300,0.06400,0.10800
0.05900,0.11400,0.05500,-0.08700,0.00100,0.08400,0.02500,0.15800,0.16600,0.06200,0.05700,0.09400
0.04200,0.08700,0.04500,-0.06500,-0.00200,0.06600,0.00900,0.12500,0.13500,0.03700,0.04200,0.07900
0.02900,0.06800,0.03800,-0.04900,-0.00500,0.05300,0.00800,0.09000,0.09500,0.01200,0.02700,0.06800
0.02500,0.05400,0.03000,-0.04000,-0.00300,0.04200,0.00900,0.06800,0.06700,-0.00500,0.01800,0.06000
0.02300,0.04500,0.02200,-0.03400,0.00000,0.03400,0.00000,0.05200,0.05600,-0.02100,0.00700,0.05400
0.01900,0.03500,0.01600,-0.02800,0.00100,0.02600,-0.00500,0.03700,0.04200,-0.03800,-0.00200,0.04700
0.01000,0.02400,0.01400,-0.01800,-0.00300,0.01900,-0.01300,0.02900,0.03300,-0.04500,-0.01000,0.04100
0.00900,0.02000,0.01000,-0.01500,0.00000,0.01500,-0.01900,0.02200,0.02500,-0.04600,-0.01500,0.03500
0.01100,0.02000,0.00900,-0.01600,0.00100,0.01400,-0.01600,0.01500,0.01500,-0.05700,-0.02600,0.03000
0.01400,0.01800,0.00400,-0.01700,0.00500,0.01000,-0.01500,0.00700,0.01100,-0.06200,-0.04600,0.02600
0.00500,0.01500,0.00900,-0.01000,-0.00200,0.01200,-0.01400,0.00200,0.00800,-0.05900,-0.05100,0.02400
-0.00100,0.01500,0.01600,-0.00700,-0.00900,0.01500,-0.01100,0.00400,0.00500,-0.06200,-0.05000,0.02000
0.00300,0.01800,0.01500,-0.01100,-0.00600,0.01600,-0.00900,0.00900,0.00300,-0.06900,-0.05000,0.01500
-0.00100,0.01500,0.01600,-0.00700,-0.00900,0.01500,-0.01400,0.01100,-0.00100,-0.06500,-0.04600,0.01500
0.01500,0.02600,0.01100,-0.02100,0.00200,0.01800,-0.02000,0.01600,0.00300,-0.05700,-0.04300,0.01500
0.00800,0.03800,0.03000,-0.02300,-0.01200,0.03400,-0.01300,0.02000,0.01100,-0.05100,-0.04000,0.01500
-0.01000,0.03300,0.04300,-0.01100,-0.02700,0.03800,-0.00600,0.01900,0.01900,-0.04400,-0.03800,0.01500
-0.00700,0.03100,0.03800,-0.01200,-0.02300,0.03500,0.00000,0.02800,0.02700,-0.03900,-0.03400,0.01500
-0.00800,0.03000,0.03800,-0.01100,-0.02300,0.03300,0.00800,0.03700,0.03400,-0.03300,-0.03800,0.01400
-0.00400,0.03000,0.03400,-0.01300,-0.01900,0.03100,0.00800,0.03900,0.03900,-0.02800,-0.03800,0.01100
-0.00400,0.03100,0.03500,-0.01400,-0.02000,0.03200,0.00500,0.04000,0.04000,-0.02200,-0.03100,0.00500
-0.01100,0.03000,0.04100,-0.01000,-0.02600,0.03500,0.00500,0.04300,0.03900,-0.01700,-0.02600,0.01000
-0.00500,0.04000,0.04500,-0.01800,-0.02600,0.04300,0.00500,0.04500,0.04100,-0.01000,-0.02100,0.02100
0.01100,0.04800,0.03800,-0.03000,-0.01400,0.04300,0.00500,0.03800,0.04000,-0.01600,-0.01400,0.02000
0.00800,0.04300,0.03500,-0.02600,-0.01300,0.03900,0.00000,0.03500,0.03500,-0.02600,-0.01200,0.01600
0.00500,0.03500,0.03000,-0.02000,-0.01300,0.03200,-0.00800,0.03000,0.03000,-0.02500,-0.02300,0.01400
0.00500,0.02900,0.02500,-0.01700,-0.01000,0.02700,-0.01000,0.02500,0.02400,-0.02500,-0.02600,0.01100
-0.00700,0.02300,0.03000,-0.00900,-0.01900,0.02700,-0.01000,0.02200,0.01900,-0.02900,-0.02400,0.00900
-0.00400,0.01300,0.01700,-0.00500,-0.01100,0.01500,-0.00900,0.01600,0.01400,-0.03100,-0.02600,0.01400
0.00400,0.03500,0.03100,-0.02000,-0.01300,0.03300,-0.01300,0.01100,0.01000,-0.03900,-0.03200,0.01500
-0.00100,0.05200,0.05300,-0.02500,-0.02800,0.05200,-0.02200,0.00800,0.00800,-0.04600,-0.03600,0.01200
0.00300,0.03900,0.03700,-0.02100,-0.01700,0.03800,-0.01800,0.00200,0.00500,-0.04000,-0.03100,0.00900
0.00100,0.03400,0.03400,-0.01800,-0.01700,0.03400,-0.01500,0.00100,0.00200,-0.03500,-0.02900,0.00600
0.00100,0.03300,0.03200,-0.01700,-0.01600,0.03200,-0.01300,0.00500,-0.00100,-0.03200,-0.02400,0.00300
0.01200,0.03500,0.02300,-0.02300,-0.00600,0.02900,-0.00900,0.00500,0.00400,-0.02500,-0.02000,0.00200
0.01100,0.02800,0.01800,-0.02000,-0.00400,0.02300,-0.01200,0.00500,0.01400,-0.02800,-0.02300,0.00700
0.01600,0.02400,0.00800,-0.02000,0.00300,0.01600,-0.01100,0.00100,0.01400,-0.03700,-0.02600,0.00400
0.01800,0.02100,0.00300,-0.02000,0.00800,0.01200,-0.01000,0.00000,0.00900,-0.04000,-0.03300,-0.00100
0.01000,0.01300,0.00300,-0.01200,0.00300,0.00800,-0.00900,0.00000,0.00700,-0.04000,-0.03600,-0.00300
0.01100,0.02300,0.01200,-0.01700,-0.00100,0.01700,-0.00500,-0.00500,0.00200,-0.04000,-0.03400,-0.00900
0.01600,0.03000,0.01400,-0.02400,0.00100,0.02200,-0.00400,-0.00500,0.00000,-0.04000,-0.03200,-0.01000
0.01600,0.02300,0.00700,-0.02000,0.00400,0.01500,-0.01100,-0.00400,-0.00600,-0.04000,-0.02900,-0.00500
0.01000,0.02000,0.01000,-0.01500,0.00000,0.01400,-0.01600,-0.00700,-0.01000,-0.04100,-0.03100,-0.00500
0.00400,0.01500,0.01100,-0.01000,-0.00400,0.01200,-0.01500,-0.01100,-0.01000,-0.04600,-0.03500,-0.00400
0.00000,0.01000,0.01000,-0.00500,-0.00500,0.01000,-0.01300,-0.01000,-0.01000,-0.04400,-0.03300,-0.01100
0.00400,0.01200,0.00800,-0.00800,-0.00200,0.01000,-0.01000,-0.01000,-0.01000,-0.04100,-0.02900,-0.01700
0.01200,0.01600,0.00400,-0.01500,0.00300,0.01000,-0.00900,-0.01000,-0.01000,-0.03800,-0.03000,-0.01300
0.00400,0.00900,0.00600,-0.00700,-0.00100,0.00700,-0.01300,-0.01000,-0.01000,-0.03500,-0.03000,-0.01000
0.00900,0.00800,0.00000,-0.00900,0.00400,0.00400,-0.01400,-0.01200,-0.00500,-0.03400,-0.03000,-0.00800
0.01100,0.00300,-0.00800,-0.00700,0.00900,-0.00200,-0.00900,-0.01500,0.00000,-0.02800,-0.03000,-0.00400
-0.00300,-0.00200,0.00100,0.00200,-0.00200,0.00000,-0.00400,-0.01500,0.00500,-0.02200,-0.02500,-0.00600
0.00500,0.02100,0.01600,-0.01300,-0.00600,0.01900,0.00300,-0.00900,0.00900,-0.01700,-0.02000,-0.01000
0.01000,0.02300,0.01200,-0.01700,-0.00100,0.01700,0.00700,-0.00200,0.01400,-0.01100,-0.01600,-0.00500
0.01200,0.03400,0.02200,-0.02300,-0.00500,0.02700,0.01700,0.00400,0.01700,-0.00700,-0.01100,0.00000
0.00800,0.05300,0.04500,-0.03100,-0.01800,0.04900,0.02100,0.01000,0.02200,-0.00700,-0.00700,0.00500
0.01800,0.06100,0.04300,-0.04000,-0.01300,0.05200,0.01100,0.01800,0.01800,-0.00200,-0.00300,0.01100
0.03600,0.07300,0.03800,-0.05500,-0.00100,0.05500,0.00300,0.01900,0.02400,0.00900,0.00400,0.01500
0.03700,0.06800,0.03100,-0.05200,0.00300,0.04900,-0.00600,0.01100,0.03900,0.00500,0.01000,0.01400
0.04600,0.07300,0.02700,-0.06000,0.01000,0.05000,-0.03100,0.00500,0.03500,0.00900,0.01800,0.02300
0.05700,0.07700,0.02000,-0.06700,0.01800,0.04800,-0.04200,-0.00300,0.02400,0.00700,0.02300,0.03700
0.05800,0.06800,0.01000,-0.06400,0.02400,0.03900,-0.03700,-0.00800,0.01700,-0.00100,0.01900,0.03900
0.05300,0.05500,0.00200,-0.05400,0.02500,0.02800,-0.03400,-0.01400,0.00800,-0.01100,0.00900,0.03000
0.05200,0.04400,-0.00800,-0.04800,0.02900,0.01800,-0.03000,-0.02600,0.00000,-0.01900,0.00200,0.02400
0.02600,0.01100,-0.01500,-0.01800,0.02000,-0.00200,-0.02700,-0.02400,-0.00400,-0.02400,-0.00500,0.01900
-0.00500,-0.03900,-0.03400,0.02200,0.01500,-0.03600,-0.02200,-0.02600,-0.01700,-0.03700,-0.01600,0.00700
0.00200,-0.04000,-0.04200,0.01900,0.02200,-0.04100,-0.02200,-0.02400,-0.01700,-0.03500,-0.01700,0.00000
0.00300,-0.03300,-0.03600,0.01600,0.02000,-0.03400,-0.01500,-0.02600,-0.03200,-0.05000,-0.03300,-0.01800
0.01000,-0.02400,-0.03400,0.00800,0.02200,-0.02900,-0.01800,-0.03500,-0.02600,-0.04200,-0.02600,-0.02100
-0.01700,-0.04900,-0.03200,0.03300,0.00800,-0.04000,-0.00800,-0.03500,-0.02800,-0.06700,-0.04600,-0.03800
-0.02600,-0.05400,-0.02800,0.04000,0.00100,-0.04000,-0.01300,-0.05100,-0.02400,-0.05400,-0.03400,-0.03000
-0.00700,-0.04100,-0.03400,0.02400,0.01400,-0.03700,-0.00800,-0.03800,-0.02300,-0.06400,-0.04600,-0.03500
-0.01900,-0.04400,-0.02500,0.03200,0.00300,-0.03400,0.00100,-0.03700,-0.03000,-0.05500,-0.03600,-0.04500
-0.00900,-0.00100,0.00800,0.00500,-0.00800,0.00300,0.04400,0.08000,0.10500,0.07400,0.01800,-0.00800
0.12200,0.08200,-0.03900,-0.10200,0.08000,0.02100,0.10800,0.38500,0.50600,0.45900,0.28000,0.14300
0.68700,0.39200,-0.29500,-0.53900,0.49100,0.04800,-0.21800,0.53400,1.11500,1.19100,1.09600,0.71300
0.99500,0.38900,-0.60600,-0.69100,0.80000,-0.10800,-0.81000,-0.26300,0.29800,0.44700,1.00100,0.84000
0.51800,-0.04500,-0.56200,-0.23600,0.54000,-0.30300,-1.10600,-1.34300,-1.22800,-1.00400,0.08300,0.34400
0.14800,-0.12500,-0.27300,-0.01100,0.21100,-0.19800,-0.82700,-1.11100,-1.07000,-0.90800,-0.12900,0.17100
0.03000,-0.04800,-0.07800,0.00900,0.05400,-0.06200,-0.36000,-0.49700,-0.48300,-0.45600,-0.10600,0.09000
-0.03400,-0.04200,-0.00800,0.03900,-0.01300,-0.02500,-0.13600,-0.25800,-0.25400,-0.24500,-0.09800,-0.01000
-0.03000,-0.03400,-0.00400,0.03200,-0.01300,-0.01900,-0.01900,-0.08500,-0.07100,-0.10500,-0.08100,-0.04500
-0.04100,-0.03700,0.00500,0.03900,-0.02300,-0.01600,0.01600,-0.06200,-0.05600,-0.08700,-0.08800,-0.06300
-0.04600,-0.03500,0.01100,0.04000,-0.02800,-0.01200,0.03400,-0.01800,-0.02200,-0.05000,-0.06800,-0.05700
-0.06800,-0.05800,0.01000,0.06300,-0.03800,-0.02300,0.05200,-0.00600,-0.02700,-0.05700,-0.07300,-0.06900
-0.08700,-0.05400,0.03300,0.07000,-0.06000,-0.01000,0.05500,0.00400,-0.01500,-0.04100,-0.06100,-0.06300
-0.09500,-0.05500,0.04000,0.07400,-0.06700,-0.00700,0.06300,0.01100,-0.00800,-0.03900,-0.06800,-0.06500
-0.08600,-0.05600,0.03000,0.07000,-0.05700,-0.01300,0.05800,0.01400,-0.00500,-0.03100,-0.06000,-0.06000
-0.07900,-0.05400,0.02500,0.06600,-0.05200,-0.01400,0.06200,0.03000,0.01400,-0.02400,-0.06000,-0.06000
-0.07400,-0.05400,0.02000,0.06400,-0.04700,-0.01700,0.05800,0.02200,0.01400,-0.02600,-0.06000,-0.05800
-0.06100,-0.04600,0.01400,0.05300,-0.03700,-0.01600,0.06300,0.03100,0.01600,-0.02400,-0.05500,-0.05400
-0.05100,-0.04300,0.00800,0.04700,-0.03000,-0.01700,0.07000,0.03000,0.02100,-0.02600,-0.05600,-0.05600
-0.04300,-0.03800,0.00500,0.04000,-0.02400,-0.01600,0.07000,0.02900,0.02600,-0.02500,-0.05200,-0.05500
-0.02900,-0.03400,-0.00400,0.03200,-0.01200,-0.01900,0.07000,0.03300,0.02500,-0.02300,-0.06300,-0.06100
